nature,categorie,arrondissement,statut,date_creation
Information,Collecte des encombrants,Non assigné,Sans statut,2022-01-08
Information,Opération déneigement,Non assigné,Sans statut,2022-01-08
Information,Organisme divers,Non assigné,Sans statut,2022-01-08
Information,Écocentre,Non assigné,Sans statut,2022-01-08
Information,Organisme divers,Non assigné,Sans statut,2022-01-08
Information,Accès à l'information,Non assigné,Sans statut,2022-01-08
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-01-08
Information,Taxes foncières,Non assigné,Sans statut,2023-07-31
Information,Taxes foncières,Non assigné,Sans statut,2022-07-11
Information,Culture - Activités,Non assigné,Sans statut,2022-07-11
Information,Collecte de déchets,Non assigné,Sans statut,2022-07-12
Information,Gouvernement du Québec,Non assigné,Sans statut,2022-09-25
Information,Info-Remorquage,Non assigné,Sans statut,2022-09-25
Information,Info-Remorquage,Non assigné,Sans statut,2022-09-25
Information,Info-travaux - Service central,Non assigné,Sans statut,2022-09-25
Information,Organisme divers,Non assigné,Sans statut,2022-09-25
Information,Organisme divers,Non assigné,Sans statut,2022-09-25
Information,Installations sportives extérieures - Entretien,Non assigné,Sans statut,2022-09-25
Information,Débris sur la voie publique,Non assigné,Sans statut,2022-12-04
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-12-04
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-12-04
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2025-03-17
Information,Fuite d'eau,Non assigné,Sans statut,2025-03-17
Information,Nettoyage du domaine public,Non assigné,Sans statut,2023-03-25
Information,Collecte de déchets,Non assigné,Sans statut,2022-01-08
Information,Taxes foncières,Non assigné,Sans statut,2022-01-08
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-01-08
Information,Organisme divers,Non assigné,Sans statut,2022-01-08
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-01-08
Information,Installations sportives extérieures - Entretien,Non assigné,Sans statut,2022-01-08
Information,Taxes foncières,Non assigné,Sans statut,2022-01-08
Information,Collecte de déchets,Non assigné,Sans statut,2022-01-08
Information,Éclairage existant - Entretien,Non assigné,Sans statut,2023-01-29
Information,Assermentation,Non assigné,Sans statut,2022-11-14
Information,Fuite d'eau,Non assigné,Sans statut,2022-10-09
Information,Info-travaux - Arrondissement,Non assigné,Sans statut,2022-03-26
Information,Info-travaux - Service central,Non assigné,Sans statut,2022-03-26
Information,Taxes foncières,Non assigné,Sans statut,2022-07-04
Information,Permis animalier,Non assigné,Sans statut,2022-07-04
Information,Collecte de résidus alimentaires,Non assigné,Sans statut,2022-07-04
Information,Permis de construction - rénovation,Non assigné,Sans statut,2022-07-04
Information,Info-Remorquage,Non assigné,Sans statut,2025-08-15
Information,Gel Entrée d'eau,Non assigné,Sans statut,2022-01-30
Information,Fuite d'eau,Non assigné,Sans statut,2022-01-30
Information,Organisme divers,Non assigné,Sans statut,2022-04-25
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-29
Information,Info-Remorquage,Non assigné,Sans statut,2022-01-29
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-01-29
Information,Animal mort,Non assigné,Sans statut,2022-01-29
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-01-29
Information,Bruit,Non assigné,Sans statut,2022-08-21
Information,Parc - Divers,Non assigné,Sans statut,2022-07-15
Information,Parc - Divers,Non assigné,Sans statut,2022-07-15
Information,Manque d'eau,Non assigné,Sans statut,2022-07-15
Information,*Z-Test de pression d'eau,Non assigné,Sans statut,2022-07-15
Information,*Z-Test de pression d'eau,Non assigné,Sans statut,2022-07-15
Information,Permis - Divers,Non assigné,Sans statut,2022-07-15
Information,Débris sur la voie publique,Non assigné,Sans statut,2022-07-15
Information,Bureau d'arrondissement - Service à la clientèle,Non assigné,Sans statut,2023-09-15
Information,Permis animalier,Non assigné,Sans statut,2023-09-16
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2023-09-16
Information,Animal mort,Non assigné,Sans statut,2023-09-16
Information,Y-Eau - Divers,Non assigné,Sans statut,2023-09-16
Information,Info-Remorquage,Non assigné,Sans statut,2022-09-04
Information,Intervention stationnement,Non assigné,Sans statut,2022-09-04
Information,Occupation du domaine public,Non assigné,Sans statut,2022-09-04
Information,Intervention stationnement,Non assigné,Sans statut,2022-09-04
Information,Collecte de déchets,Non assigné,Sans statut,2022-09-04
Information,Balai mécanique,Non assigné,Sans statut,2022-09-05
Information,Fuite d'eau,Non assigné,Sans statut,2022-09-05
Information,Info-Remorquage,Non assigné,Sans statut,2022-09-05
Information,Occupation du domaine public,Non assigné,Sans statut,2022-09-05
Information,Collecte des encombrants,Non assigné,Sans statut,2022-06-12
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-08-16
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-08-16
Information,Collecte des matières organiques,Non assigné,Sans statut,2022-08-17
Information,Info-Remorquage,Non assigné,Sans statut,2022-10-16
Information,Info-Remorquage,Non assigné,Sans statut,2022-10-16
Information,Organisme divers,Non assigné,Sans statut,2022-10-16
Information,Collecte des matières recyclables,Non assigné,Sans statut,2022-07-09
Information,Info-Remorquage,Non assigné,Sans statut,2024-11-15
Information,Direction - Capital humain,Non assigné,Sans statut,2022-10-31
Information,Collecte des matières recyclables,Non assigné,Sans statut,2022-10-31
Information,Nettoyage du domaine public,Non assigné,Sans statut,2022-06-28
Information,Feux de circulation - Entretien,Non assigné,Sans statut,2025-08-08
Information,Nid-de-poule,Non assigné,Sans statut,2025-08-08
Information,Manque d'eau,Non assigné,Sans statut,2022-01-16
Information,Manque d'eau,Non assigné,Sans statut,2022-01-16
Information,Collecte des encombrants,Non assigné,Sans statut,2022-01-16
Information,Extermination à l'extérieur - Insectes,Non assigné,Sans statut,2022-08-01
Information,Manque d'eau,Non assigné,Sans statut,2022-08-01
